Campaign Name,Reach (Estimated),Date,CPC (Cost per Click),CTR (Clickthrough Rate),CPM (Cost per 1000 Impressions),Action Post Engagement,Cost Per Action Link Clicks,Frequency,Action Landing Page View,"Spend (Cost, Amount Spent)"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,3964,2023-06-28,"1,237126","1,963439","24,290228",1277,"1,494861","1,11781",59,"107,63"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,4185,2023-07-07,"1,062626","2,058212","21,871102",1395,"1,441096","1,149343",58,"105,2"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,6410,2023-06-18,"0,843714","2,003148","16,900844",1980,"1,298022","1,090328",65,"118,12"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,4330,2023-06-27,"1,090388","2,095199","22,84581",1395,"1,458571","1,135335",63,"112,31"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,3730,2023-07-08,"1,455132","1,789077","26,033428",1227,"1,78371","1,138874",51,"110,59"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,4533,2023-06-26,"0,894603","2,540323","22,725806",1563,"1,162062","1,094198",72,"112,72"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,4495,2023-07-09,"1,37093","1,701286","23,323442",1310,"1,842188","1,124583",46,"117,9"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,4523,2023-06-01,"0,972342","2,192809","21,321612",1610,"1,401688","1,119169",55,"107,93"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,5048,2023-06-08,"0,814931","2,446899","19,940527",1720,"1,107075","1,165808",76,"117,35"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,4459,2023-05-22,"0,875846","2,579877","22,595753",1869,"1,279326","1,130074",73,"113,86"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,4602,2023-06-07,"0,868898","2,37073","20,599216",1568,"1,226111","1,164059",68,"110,35"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,5462,2023-06-06,"0,726358","2,347637","17,052239",1899,"1,025047","1,177591",85,"109,68"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,5542,2023-06-05,"0,759272","2,363807","17,947714",1919,"1,113107","1,152652",83,"114,65"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,4163,2023-05-17,"0,797895","2,824979","22,540357",1629,"1,094021","1,130915",72,"106,12"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,5126,2023-06-04,"0,640116","2,872323","18,386186",1879,"0,946496","1,17499",94,"110,74"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,4331,2023-05-23,"0,696923","3,393574","23,650602",1836,"0,998136","1,14985",97,"117,78"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,4664,2023-06-03,"0,894729","2,350155","21,02751",1618,"1,241075","1,176887",73,"115,42"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,4027,2023-05-24,"0,722953","3,216059","23,250594",1666,"0,979273","1,150484",78,"107,72"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,4173,2023-06-02,"1,048058","2,160688","22,64527",1396,"1,420395","1,142344",53,"107,95"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,1624,2023-07-12,"1,211707","2,229473","27,014682",479,"2,16","1,132389",17,"49,68"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,4236,2023-05-16,"0,866905","2,633229","22,827586",1667,"1,285059","1,129603",65,"109,23"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,4560,2023-05-25,"0,745467","2,915452","21,733722",1774,"1,016545","1,128289",87,"111,82"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,3692,2023-05-31,"1,154787","2,208128","25,499178",1373,"1,466892","1,153034",55,"108,55"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,4918,2023-05-30,"0,80442","2,509091","20,183636",1903,"0,973772","1,118341",90,"111,01"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,4612,2023-05-26,"0,721711","2,915228","21,039509",1791,"0,962281","1,130529",89,"109,7"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,5856,2023-05-29,"0,761275","2,262375","17,222897",2251,"0,961271","1,124658",90,"113,43"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,3494,2023-05-15,"0,82064","3,236665","26,561367",1473,"1,22119","1,105323",68,"102,58"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,3616,2023-05-14,"0,98766","2,442193","24,120551",1445,"1,271781","1,064436",60,"92,84"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,4834,2023-05-27,"0,883852","2,274846","20,106284",1890,"1,159462","1,109433",80,"107,83"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,5598,2023-05-28,"0,746733","2,444191","18,251589",2197,"1,018273","1,096284",84,"112,01"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,820,2023-07-14,"0,917692","2,974828","27,299771",292,"1,255789","1,065854",17,"23,86"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,4777,2023-06-15,"0,857778","2,330744","19,992601",1559,"1,286667","1,131673",61,"108,08"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,4475,2023-05-20,"0,870074","2,738071","23,823233",1742,"1,171584","1,109944",88,"118,33"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,4809,2023-06-14,"1,302771","1,559857","20,321368",1594,"1,744032","1,106467",58,"108,13"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,6563,2023-06-13,"0,864331","1,745465","15,086586",2017,"1,233371","1,108639",70,"109,77"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,4253,2023-05-19,"0,887043","2,46411","21,857724",1690,"1,14618","1,097343",67,"102,01"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,5916,2023-06-12,"0,903333","1,858568","16,78906",1747,"1,355","1,118661",59,"111,11"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,6190,2023-06-11,"0,902519","1,918852","17,318002",1841,"1,285109","1,102908",69,"118,23"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,4044,2023-05-21,"0,76305","3,090072","23,578786",1617,"1,156882","1,128338",81,"107,59"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,4346,2023-06-16,"1,223933","1,824518","22,330873",1358,"1,756935","1,122411",56,"108,93"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,4888,2023-06-10,"1,144286","1,618353","18,518584",1552,"1,764915","1,150368",47,"104,13"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,1897,2023-07-13,"0,951961","2,340523","22,280863",596,"1,566129","1,148656",23,"48,55"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,1844,2023-07-11,"1,0038","2,407318","24,164661",571,"1,673","1,126356",23,"50,19"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,4117,2023-05-18,"0,956091","2,39547","22,902875",1606,"1,383816","1,115375",62,"105,17"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | FRIO | INT | CBO - vid - 14.05.23,4722,2023-06-09,"0,919328","2,202888","20,251759",1425,"1,334146","1,144007",59,"109,4"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,63,2023-06-28,"4,0275","3,305785","133,140496",3,"5,37","1,920635",2,"16,11"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,70,2023-05-19,"6,11","1,5","91,65",5,"9,165","2,857143",2,"18,33"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,73,2023-05-15,"6,77","1,304348","88,304348",,,"3,150685",1,"20,31"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,66,2023-05-26,"5,915","1,960784","115,980392",2,"11,83","3,090909",1,"23,66"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,75,2023-06-21,"7,93","1,388889","110,138889",3,"7,93","1,92",2,"15,86"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,64,2023-06-23,"2,946","3,846154","113,307692",5,"4,91","2,03125",,"14,73"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,68,2023-05-25,"8,263333","1,522843","125,837563",4,"8,263333","2,897059",3,"24,79"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,77,2023-05-16,"6,53","1,229508","80,286885",3,"9,795","3,168831",2,"19,59"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,52,2023-05-20,"5,42","2,105263","114,105263",2,"5,42","1,826923",1,"10,84"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,71,2023-06-27,"16,46","0,704225","115,915493",4,"16,46",2,1,"16,46"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,56,2023-05-24,"7,823333","2,112676","165,28169",4,"7,823333","2,535714",1,"23,47"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,72,2023-05-18,"2,46125","3,555556","87,511111",6,"3,281667","3,125",4,"19,69"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,87,2023-06-26,"15,59","0,546448","85,191257",1,,"2,103448",,"15,59"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,82,2023-06-24,"6,715","1,282051","86,089744",4,"6,715","1,902439",1,"13,43"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,77,2023-05-17,"4,106","2,118644","86,991525",3,"20,53","3,064935",,"20,53"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,54,2023-05-22,"5,316667","2,439024","129,674797",3,"5,316667","2,277778",3,"15,95"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,15,2023-05-21,,0,"131,304348",,,"1,533333",,"3,02"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,83,2023-06-25,"7,66","1,036269","79,378238",3,"15,32","2,325301",1,"15,32"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,71,2023-06-22,"6,9","1,398601","96,503497",3,"13,8","2,014085",1,"13,8"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,66,2023-06-10,"4,343333","2,027027","88,040541",2,"6,515","2,242424",2,"13,03"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,65,2023-06-04,"7,955","1,075269","85,537634",1,"15,91","2,861538",1,"15,91"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,80,2023-06-19,,0,"94,638554",,,"2,075",,"15,71"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,71,2023-06-05,"8,195","1,041667","85,364583",2,"16,39","2,704225",,"16,39"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,73,2023-06-06,"15,11","0,531915","80,37234",1,,"2,575342",,"15,11"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,67,2023-06-07,"3,048","3,448276","105,103448",5,"3,81","2,164179",2,"15,24"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,73,2023-06-08,,0,"77,282051",2,"15,07","2,671233",1,"15,07"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,64,2023-06-09,"4,743333","1,764706","83,705882",2,"7,115","2,65625",2,"14,23"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,75,2023-06-18,"8,05","1,219512","98,170732",2,"16,1","2,186667",,"16,1"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,61,2023-06-03,"4,123333",2,"82,466667",2,"12,37","2,459016",,"12,37"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,73,2023-06-11,"8,845","1,369863","121,164384",1,"17,69",2,1,"17,69"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,72,2023-06-12,"3,575","2,721088","97,278912",4,"14,3","2,041667",1,"14,3"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,80,2023-06-13,"15,31","0,546448","83,661202",,,"2,2875",,"15,31"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,72,2023-06-14,"5,026667","2,112676","106,197183",2,"7,54","1,972222",2,"15,08"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,72,2023-06-15,,0,"100,137931",,,"2,013889",,"14,52"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,72,2023-06-17,"6,48","1,369863","88,767123",3,"6,48","2,027778",1,"12,96"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,77,2023-06-16,"7,545","1,526718","115,19084",3,"15,09","1,701299",,"15,09"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,56,2023-05-27,"6,07","2,702703","164,054054",4,"8,093333","2,642857",2,"24,28"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,33,2023-07-03,"4,68","2,272727","106,363636",1,"4,68","1,333333",1,"4,68"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,65,2023-06-02,"4,743333","1,704545","80,852273",3,"4,743333","2,707692",1,"14,23"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,77,2023-07-02,"3,396","2,890173","98,150289",4,"5,66","2,246753",3,"16,98"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,63,2023-06-01,"4,99","1,764706","88,058824",3,"7,485","2,698413",1,"14,97"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,43,2023-05-12,"2,793333","3,225806","90,107527",1,"8,38","2,162791",1,"8,38"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,59,2023-05-31,"3,8475","2,816901","108,380282",3,"7,695","2,40678",1,"15,39"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,64,2023-07-01,"11,99","0,877193","105,175439",1,"11,99","1,78125",,"11,99"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,60,2023-05-30,"2,212857","4,142012","91,656805",7,"3,098","2,816667",4,"15,49"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,77,2023-06-20,,0,"101,655629",,,"1,961039",,"15,35"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,62,2023-05-13,"2,255","4,571429","103,085714",3,"6,013333","2,822581",3,"18,04"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,60,2023-05-29,"9,535","1,190476","113,511905",2,"19,07","2,8",1,"19,07"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,80,2023-06-30,"3,665","2,547771","93,375796",3,"7,33","1,9625",2,"14,66"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,61,2023-05-28,"11,285","1,273885","143,757962",4,"11,285","2,57377",1,"22,57"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,80,2023-05-14,"5,3575","1,746725","93,580786",3,"7,143333","2,8625",2,"21,43"
Vinicius | CZ_PP_YR_A1 | Vendas | CONV | QUENTE | ABO - IMG - 12.05.23,77,2023-06-29,"3,7175","2,816901","104,71831",3,"4,956667","1,844156",2,"14,87"
